customer_id,month,signup_month,propensity_score,segment,acquisition_channel,home_city,calls,inquirys,offers,saves,views,visits,sessions,avg_session_min,revenue,deals,engagement_score,engagement_3m,churn_risk,churned,churn_month
C000001,2022-06-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745,False,2024-01-01
C000001,2022-07-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3052,False,2024-01-01
C000001,2022-08-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.4,0.0,0.0,0.0564,0.018800000349680584,0.1869,False,2024-01-01
C000001,2022-09-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018800000349680584,0.21,False,2024-01-01
C000001,2022-10-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018800000349680584,0.2572,False,2024-01-01
C000001,2022-11-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.45,0.0,0.0,0.09545,0.03181666632493337,0.1879,False,2024-01-01
C000001,2022-12-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.132,0.07581666608651479,0.1476,False,2024-01-01
C000001,2023-01-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07581666608651479,0.1104,False,2024-01-01
C000001,2023-02-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.15,0.0,0.0,0.08615,0.0727166657646497,0.0873,False,2024-01-01
C000001,2023-03-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.25,0.0,0.0,0.18825,0.0914666677514712,0.0963,False,2024-01-01
C000001,2023-04-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914666677514712,0.0929,False,2024-01-01
C000001,2023-05-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.8,0.0,0.0,0.0658,0.08468333631753922,0.1352,False,2024-01-01
C000001,2023-06-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.3,0.0,0.0,0.1393,0.06836666911840439,0.1704,False,2024-01-01
C000001,2023-07-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06836666911840439,0.1296,False,2024-01-01
C000001,2023-08-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04643333454926809,0.1721,,2024-01-01
C000001,2023-09-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2445,False,2024-01-01
C000001,2023-10-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.6,0.0,0.0,0.2146,0.07153333226839702,0.1448,False,2024-01-01
C000001,2023-11-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07153333226839702,0.1221,False,2024-01-01
C000001,2023-12-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07153333226839702,0.0865,False,2024-01-01
C000001,2024-01-01,2022-06-01,0.588,End-User,Organic,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3561,True,2024-01-01
C000002,2024-01-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739,False,
C000002,2024-02-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.3999996,0.0,0.0,0.1574,0.0786999985575676,0.09,False,
C000002,2024-03-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.9,0.0,0.0,0.0609,0.07276666536927223,0.0932,False,
C000002,2024-04-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,1.0,0.0,0.0,0.0,2.0,1.0,4.0,6.425,0.0,0.0,0.406425,0.2082416651149591,0.0191,False,
C000002,2024-05-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.75,0.0,0.0,0.08875,0.1853583318491777,0.0218,False,
C000002,2024-06-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650583321849505,0.0281,False,
C000002,2024-07-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02958333243926366,0.1959,False,
C000002,2024-08-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.8,0.0,0.0,0.0618,0.02059999977548917,0.1846,False,
C000002,2024-09-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02059999977548917,0.1851,False,
C000002,2024-10-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.1,0.0,0.0,0.1491,0.07030000165104866,0.1279,False,
C000002,2024-11-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04970000187555949,0.1557,False,
C000002,2024-12-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.7,0.0,0.0,0.0587,0.06926666821042697,0.1238,False,
C000002,2025-01-01,2024-01-01,0.524,Investor,Paid Search,Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019566666334867477,0.2178,False,
C000003,2024-06-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,1.0,4.0,0.0,5.0,7.7,0.0,0.0,0.2477,0.24770000576972961,0.01,False,
C000003,2024-07-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.6666665,0.0,0.0,0.14566667,0.1966833397746086,0.0134,False,
C000003,2024-08-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,1.0,0.0,0.0,2.0,1.0,0.0,4.0,9.275,0.0,0.0,0.229275,0.20754722754160562,0.0195,False,
C000003,2024-09-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.1,0.0,0.0,0.0981,0.1576805586616198,0.0381,False,
C000003,2024-10-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.049,0.12545833364129066,0.0801,False,
C000003,2024-11-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.1,0.0,0.0,0.1371,0.0947333313524723,0.1499,False,
C000003,2024-12-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.8,0.0,0.0,0.0448,0.07696666444341342,0.1177,False,
C000003,2025-01-01,2024-06-01,0.451,Renter-to-Owner,Paid Search,Chattogram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060633331537246704,0.1197,False,
C000004,2022-07-01,2022-07-01,0.853,Investor,Marketplace,Dhaka,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.55,0.0,0.0,0.10655,0.10655000060796738,0.0769,False,2023-03-01
C000004,2022-08-01,2022-07-01,0.853,Investor,Marketplace,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05327500030398369,0.1198,False,2023-03-01
C000004,2022-09-01,2022-07-01,0.853,Investor,Marketplace,Dhaka,0.0,0.0,0.0,1.0,1.0,0.0,2.0,15.5,0.0,0.0,0.1055,0.07068333278099696,0.1215,False,2023-03-01
